Country,Capital,Continent,2022 population,Area,World Population Percentage
Maldives,Malé,Asia,523787,300,0.01
Mali,Bamako,Africa,22593590,1240192,0.28
Malta,Valletta,Europe,533286,316,0.01
Marshall Islands,Majuro,Oceania,41569,181,0
Martinique,Fort-de-France,North America,367507,1128,0
Mauritania,Nouakchott,Africa,4736139,1030700,0.06
Mauritius,Port Louis,Africa,1299469,2040,0.02
Mayotte,Mamoudzou,Africa,326101,374,0
Mexico,Mexico City,North America,127504125,1964375,1.6
Micronesia,Palikir,Oceania,114164,702,0
Moldova,Chisinau,Europe,3272996,33846,0.04
Monaco,Monaco,Europe,36469,2,0
Mongolia,Ulaanbaatar,Asia,3398366,1564110,0.04
Montenegro,Podgorica,Europe,627082,13812,0.01
Montserrat,Brades,North America,4390,102,0
Morocco,Rabat,Africa,37457971,446550,0.47
Mozambique,Maputo,Africa,32969517,801590,0.41
Myanmar,Nay Pyi Taw,Asia,54179306,676578,0.68
Namibia,Windhoek,Africa,2567012,825615,0.03
Nauru,Yaren,Oceania,12668,21,0
Nepal,Kathmandu,Asia,30547580,147181,0.38
Netherlands,Amsterdam,Europe,17564014,41850,0.22
New Caledonia,Nouméa,Oceania,289950,18575,0
New Zealand,Wellington,Oceania,5185288,270467,0.07
Nicaragua,Managua,North America,6948392,130373,0.09
Niger,Niamey,Africa,26207977,1267000,0.33
Nigeria,Abuja,Africa,218541212,923768,2.74
Niue,Alofi,Oceania,1934,260,0
North Korea,Pyongyang,Asia,26069416,120538,0.33
North Macedonia,Skopje,Europe,2093599,25713,0.03
Northern Mariana Islands,Saipan,Oceania,49551,464,0
Norway,Oslo,Europe,5434319,323802,0.07
Oman,Muscat,Asia,4576298,309500,0.06
Pakistan,Islamabad,Asia,235824862,881912,2.96
Palau,Ngerulmud,Oceania,18055,459,0
Palestine,Ramallah,Asia,5250072,6220,0.07
Panama,Panama City,North America,4408581,75417,0.06
Papua New Guinea,Port Moresby,Oceania,10142619,462840,0.13
Paraguay,Asunción,South America,6780744,406752,0.09
Peru,Lima,South America,34049588,1285216,0.43
Philippines,Manila,Asia,115559009,342353,1.45
Poland,Warsaw,Europe,39857145,312679,0.5
Portugal,Lisbon,Europe,10270865,92090,0.13
Puerto Rico,San Juan,North America,3252407,8870,0.04
Qatar,Doha,Asia,2695122,11586,0.03
Republic of the Congo,Brazzaville,Africa,5970424,342000,0.07
Reunion,Saint-Denis,Africa,974052,2511,0.01
Romania,Bucharest,Europe,19659267,238391,0.25
Russia,Moscow,Europe,144713314,17098242,1.81
Rwanda,Kigali,Africa,13776698,26338,0.17
Saint Barthelemy,Gustavia,North America,10967,21,0
Saint Kitts and Nevis,Basseterre,North America,47657,261,0
Saint Lucia,Castries,North America,179857,616,0
Saint Martin,Marigot,North America,31791,53,0
Saint Pierre and Miquelon,Saint-Pierre,North America,5862,242,0
Saint Vincent and the Grenadines,Kingstown,North America,103948,389,0
Samoa,Apia,Oceania,222382,2842,0
San Marino,San Marino,Europe,33660,61,0
Sao Tome and Principe,São Tomé,Africa,227380,964,0
Saudi Arabia,Riyadh,Asia,36408820,2149690,0.46
Senegal,Dakar,Africa,17316449,196722,0.22
Serbia,Belgrade,Europe,7221365,88361,0.09
Seychelles,Victoria,Africa,107118,452,0
Sierra Leone,Freetown,Africa,8605718,71740,0.11
Singapore,Singapore,Asia,5975689,710,0.07
Sint Maarten,Philipsburg,North America,44175,34,0
Slovakia,Bratislava,Europe,5643453,49037,0.07
Slovenia,Ljubljana,Europe,2119844,20273,0.03
Solomon Islands,Honiara,Oceania,724273,28896,0.01
Somalia,Mogadishu,Africa,17597511,637657,0.22
South Africa,Pretoria,Africa,59893885,1221037,0.75
South Korea,Seoul,Asia,51815810,100210,0.65
South Sudan,Juba,Africa,10913164,619745,0.14
Spain,Madrid,Europe,47558630,505992,0.6
Sri Lanka,Colombo,Asia,21832143,65610,0.27
Sudan,Khartoum,Africa,46874204,1886068,0.59
Suriname,Paramaribo,South America,618040,163820,0.01
Sweden,Stockholm,Europe,10549347,450295,0.13
Switzerland,Bern,Europe,8740472,41284,0.11
Syria,Damascus,Asia,22125249,185180,0.28
Taiwan,Taipei,Asia,23893394,36193,0.3
Tajikistan,Dushanbe,Asia,9952787,143100,0.12
Tanzania,Dodoma,Africa,65497748,945087,0.82
Thailand,Bangkok,Asia,71697030,513120,0.9
Timor-Leste,Dili,Asia,1341296,14874,0.02
Togo,Lomé,Africa,8848699,56785,0.11
Tokelau,Nukunonu,Oceania,1871,12,0
Tonga,Nuku‘alofa,Oceania,106858,747,0
Trinidad and Tobago,Port-of-Spain,North America,1531044,5130,0.02
Tunisia,Tunis,Africa,12356117,163610,0.15
Turkey,Ankara,Asia,85341241,783562,1.07
Turkmenistan,Ashgabat,Asia,6430770,488100,0.08
Turks and Caicos Islands,Cockburn Town,North America,45703,948,0
Tuvalu,Funafuti,Oceania,11312,26,0
Uganda,Kampala,Africa,47249585,241550,0.59
Ukraine,Kiev,Europe,39701739,603500,0.5
United Arab Emirates,Abu Dhabi,Asia,9441129,83600,0.12
United Kingdom,London,Europe,67508936,242900,0.85
United States,"Washington, D.C.",North America,338289857,9372610,4.24
United States Virgin Islands,Charlotte Amalie,North America,99465,347,0
Uruguay,Montevideo,South America,3422794,181034,0.04
Uzbekistan,Tashkent,Asia,34627652,447400,0.43
Vanuatu,Port-Vila,Oceania,326740,12189,0
Vatican City,Vatican City,Europe,510,1,0
Venezuela,Caracas,South America,28301696,916445,0.35
Vietnam,Hanoi,Asia,98186856,331212,1.23
Wallis and Futuna,Mata-Utu,Oceania,11572,142,0
Western Sahara,El Aaiún,Africa,575986,266000,0.01
Yemen,Sanaa,Asia,33696614,527968,0.42
Zambia,Lusaka,Africa,20017675,752612,0.25
Zimbabwe,Harare,Africa,16320537,390757,0.2
